ASO,quarterlyCurrentAssets: 1715484000.0,quarterlyCurrentLiabilities: 1019779000.0,quarterlyEBIT: 214586000.0,quarterlyEnterpriseValue: 5937775211.0,quarterlyNetPPE: 1496112000.0
ACHC,quarterlyCurrentAssets: 703475000.0,quarterlyCurrentLiabilities: 864890000.0,quarterlyEBIT: -266656000.0,quarterlyEnterpriseValue: 7902972304.0,quarterlyNetPPE: 2267689000.0
ACAD,quarterlyCurrentAssets: 499170000.0,quarterlyCurrentLiabilities: 209603000.0,quarterlyEBIT: -57776000.0,quarterlyEnterpriseValue: 3095567421.0,quarterlyNetPPE: 55642000.0
AKR,quarterlyCurrentAssets: 295140000.0,quarterlyCurrentLiabilities: 321625000.0,quarterlyEBIT: 8577000.0,quarterlyEnterpriseValue: 3118203743.0,quarterlyNetPPE: 30180000.0
ADN.TO,quarterlyCurrentAssets: 32052000.0,quarterlyCurrentLiabilities: 17179000.0,quarterlyEBIT: 8403000.0,quarterlyEnterpriseValue: 397745816.0,quarterlyNetPPE: 88200000.0
ACARIX.ST,quarterlyCurrentAssets: 24724000.0,quarterlyCurrentLiabilities: 9384000.0,quarterlyEBIT: -17213000.0,quarterlyEnterpriseValue: 109338783.0,quarterlyNetPPE: 153000.0
ACAST.ST,quarterlyCurrentAssets: 1255408000.0,quarterlyCurrentLiabilities: 437203000.0,quarterlyEBIT: -43630000.0,quarterlyEnterpriseValue: 436714585.0,quarterlyNetPPE: 27933000.0
ACST,quarterlyCurrentAssets: 28887000.0,quarterlyCurrentLiabilities: 1397000.0,quarterlyEBIT: -2092000.0,quarterlyEnterpriseValue: 4595241.0,quarterlyNetPPE: 57000.0
ACEL,quarterlyCurrentAssets: 282650000.0,quarterlyCurrentLiabilities: 92217000.0,quarterlyEBIT: 23495000.0,quarterlyEnterpriseValue: 1222252053.0,quarterlyNetPPE: 245714000.0
AXDX,quarterlyCurrentAssets: 32443000.0,quarterlyCurrentLiabilities: 37786000.0,quarterlyEBIT: 3246000.0,quarterlyEnterpriseValue: 88480833.0,quarterlyNetPPE: 5768000.0
AXE.V,quarterlyCurrentAssets: 1114036.0,quarterlyCurrentLiabilities: 3730921.0,quarterlyEBIT: -1121151.0,quarterlyEnterpriseValue: 22033678.0,quarterlyNetPPE: 55101.0
ACN,quarterlyCurrentAssets: 23381931000.0,quarterlyCurrentLiabilities: 18009038000.0,quarterlyEBIT: 1976530000.0,quarterlyEnterpriseValue: 197969691967.0,quarterlyNetPPE: 4167486000.0
ACCO,quarterlyCurrentAssets: 835000000.0,quarterlyCurrentLiabilities: 518900000.0,quarterlyEBIT: 37200000.0,quarterlyEnterpriseValue: 1632725726.0,quarterlyNetPPE: 254600000.0
ACCD,quarterlyCurrentAssets: 336261000.0,quarterlyCurrentLiabilities: 109003000.0,quarterlyEBIT: -35208000.0,quarterlyEnterpriseValue: 1038865681.0,quarterlyNetPPE: 44440000.0
ACCON.ST,quarterlyCurrentAssets: 114727000.0,quarterlyCurrentLiabilities: 35142000.0,quarterlyEBIT: -9831000.0,quarterlyEnterpriseValue: 458528695.0,quarterlyNetPPE: 11198000.0
ARAY,quarterlyCurrentAssets: 334147000.0,quarterlyCurrentLiabilities: 201449000.0,quarterlyEBIT: 1885000.0,quarterlyEnterpriseValue: 378358889.0,quarterlyNetPPE: 49341000.0
ACE.MI,quarterlyCurrentAssets: 2843364000.0,quarterlyCurrentLiabilities: 3391734000.0,quarterlyEBIT: 153045000.0,quarterlyEnterpriseValue: 7521016921.0,quarterlyNetPPE: 3368213000.0
SLRN,quarterlyCurrentAssets: 794638000.0,quarterlyCurrentLiabilities: 66861000.0,quarterlyEBIT: -94423000.0,quarterlyEnterpriseValue: 167254061.0,quarterlyNetPPE: 3369000.0
